seed,pool,family,raw_verdict_capture,post_revision,v4_admit,cov_before,cov_after,test_acc_l3,test_acc_l1,margin,v5_full_e0,v5_full_e02,v5_full_e05,v5_full_e08,v5_margin,v5_ladder
0xF0235A11CE0FF1CE,admission_c08,xor_popcount,novel,1,1,0.5103,1.0000,1.0000,0.7276,0.0000,0,0,0,0,0,1
0xF0235A11CE0FF1CE,planted_remix,walsh,remix,0,1,0.5057,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,planted_remix,walsh,remix,0,1,0.5057,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,planted_remix,monomial,remix,0,1,0.5057,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,planted_remix,monomial,remix,0,1,0.5057,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,planted_remix,walsh,remix,0,1,0.5006,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,planted_remix,monomial,remix,0,1,0.5006,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,planted_remix,monomial,remix,0,1,0.5006,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,planted_remix,walsh,remix,0,1,0.4914,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,planted_remix,monomial,remix,0,1,0.4914,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,planted_remix,monomial,remix,0,1,0.4914,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,planted_remix,monomial,remix,0,1,0.5114,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,planted_remix,monomial,remix,0,1,0.5114,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,planted_remix,walsh,remix,0,1,0.4931,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,planted_remix,monomial,remix,0,1,0.4931,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,planted_remix,monomial,remix,0,1,0.4931,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,planted_remix,pipeline,remix,0,1,0.5011,1.0000,1.0000,0.7276,0.0000,0,0,0,0,0,1
0xF0235A11CE0FF1CE,planted_remix,walsh,remix,0,1,0.5011,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,planted_remix,pipeline,remix,0,1,0.5103,1.0000,1.0000,0.7276,0.0000,0,0,0,0,0,1
0xF0235A11CE0FF1CE,planted_remix,walsh,remix,0,1,0.5103,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,no_harm_real,walsh,remix,0,1,0.4983,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,no_harm_real,walsh,remix,0,1,0.4983,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,no_harm_real,monomial,remix,0,1,0.4983,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,no_harm_real,monomial,remix,0,1,0.4983,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,no_harm_real,walsh,remix,0,1,0.4920,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,no_harm_real,monomial,remix,0,1,0.4920,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,no_harm_real,monomial,remix,0,1,0.4920,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,no_harm_real,walsh,novel,1,1,0.8594,1.0000,0.7044,0.4969,0.2956,1,1,1,1,1,1
0xF0235A11CE0FF1CE,no_harm_real,walsh,remix,1,1,0.5051,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,no_harm_real,monomial,remix,1,1,0.5263,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,no_harm_real,walsh,remix,1,1,0.5080,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,no_harm_real,xor_popcount,novel,1,1,0.5206,1.0000,1.0000,0.7276,0.0000,0,0,0,0,0,1
0xF0235A11CE0FF1CE,no_harm_real,monomial,remix,1,1,0.5817,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0xF0235A11CE0FF1CE,no_harm_real,xor_popcount,novel,1,1,0.5103,1.0000,1.0000,0.7276,0.0000,0,0,0,0,0,1
0x00C1B10D20260706,admission_c08,xor_popcount,novel,1,1,0.4874,1.0000,1.0000,0.7261,0.0000,0,0,0,0,0,1
0x00C1B10D20260706,planted_remix,walsh,remix,0,1,0.4989,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,planted_remix,walsh,remix,0,1,0.4989,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,planted_remix,monomial,remix,0,1,0.4989,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,planted_remix,monomial,remix,0,1,0.4989,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,planted_remix,walsh,remix,0,1,0.4971,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,planted_remix,monomial,remix,0,1,0.4971,1.0000,0.9841,0.9841,0.0159,0,0,0,0,0,0
0x00C1B10D20260706,planted_remix,monomial,remix,0,1,0.4971,1.0000,0.9841,0.9841,0.0159,0,0,0,0,0,0
0x00C1B10D20260706,planted_remix,walsh,remix,0,1,0.5040,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,planted_remix,monomial,remix,0,1,0.5040,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,planted_remix,monomial,remix,0,1,0.5040,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,planted_remix,monomial,remix,0,1,0.5011,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,planted_remix,monomial,remix,0,1,0.5011,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,planted_remix,walsh,remix,0,1,0.5057,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,planted_remix,monomial,remix,0,1,0.5057,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,planted_remix,monomial,remix,0,1,0.5057,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,planted_remix,pipeline,remix,0,1,0.4966,1.0000,1.0000,0.7261,0.0000,0,0,0,0,0,1
0x00C1B10D20260706,planted_remix,walsh,remix,0,1,0.4966,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,planted_remix,pipeline,remix,0,1,0.4874,1.0000,1.0000,0.7261,0.0000,0,0,0,0,0,1
0x00C1B10D20260706,planted_remix,walsh,remix,0,1,0.4874,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,no_harm_real,walsh,remix,0,1,0.5086,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,no_harm_real,walsh,remix,0,1,0.5086,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,no_harm_real,monomial,remix,0,1,0.5086,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,no_harm_real,monomial,remix,0,1,0.5086,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,no_harm_real,walsh,remix,0,1,0.4966,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,no_harm_real,monomial,remix,0,1,0.4966,1.0000,0.9841,0.9841,0.0159,0,0,0,0,0,0
0x00C1B10D20260706,no_harm_real,monomial,remix,0,1,0.4966,1.0000,0.9841,0.9841,0.0159,0,0,0,0,0,0
0x00C1B10D20260706,no_harm_real,xor_popcount,novel,1,1,0.8600,1.0000,0.6380,0.4264,0.3620,1,1,1,1,1,1
0x00C1B10D20260706,no_harm_real,walsh,remix,1,1,0.4989,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,no_harm_real,monomial,remix,1,1,0.5051,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,no_harm_real,walsh,remix,1,1,0.4806,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
0x00C1B10D20260706,no_harm_real,xor_popcount,novel,1,1,0.4771,1.0000,1.0000,0.7261,0.0000,0,0,0,0,0,1
0x00C1B10D20260706,no_harm_real,monomial,remix,1,1,0.5423,1.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0
