seed,arm,phase,target,solved,lib_hit,label,cov,nlib_after,tax_checked_cum,tax_blocked_cum,evals_cum
0xBADC0FFEE0DDF00D,B_current,1,"B3 sum(g) % 7",1,0,"unified escalation",1.0000,14,3,0,18
0xBADC0FFEE0DDF00D,B_current,1,"B4 sign%mod 11",1,0,"unified escalation",1.0000,15,4,0,26
0xBADC0FFEE0DDF00D,B_current,1,"B5 Walsh χ{S=0x11}",1,0,"unified escalation",1.0000,16,5,0,31
0xBADC0FFEE0DDF00D,B_current,1,"B6 Walsh χ{S=0xA4}",1,0,"unified escalation",1.0000,17,6,0,37
0xBADC0FFEE0DDF00D,B_current,1,"B7 Walsh χ{S=0x0A}",1,0,"unified escalation",1.0000,18,7,0,42
0xBADC0FFEE0DDF00D,B_current,1,"B8 parity-of-count",1,0,"unified escalation",1.0000,19,8,0,48
0xBADC0FFEE0DDF00D,B_current,1,"B9 oriented v1>v0",1,1,"frozen/grown monomials",1.0000,19,8,0,49
0xBADC0FFEE0DDF00D,B_current,1,"B10 parity AND sum%5",1,1,"frozen/grown monomials",0.9074,19,8,0,50
0xBADC0FFEE0DDF00D,B_current,1,"B11 inversion parity",1,0,"inversion→half_p(S mod 2)",1.0000,19,8,0,372
0xBADC0FFEE0DDF00D,B_current,2,"P1 repeat Walsh chi{0x11}",1,1,"frozen/grown monomials",1.0000,19,8,0,373
0xBADC0FFEE0DDF00D,B_current,2,"P2 repeat Walsh chi{0xA4}",1,1,"frozen/grown monomials",1.0000,19,8,0,374
0xBADC0FFEE0DDF00D,B_current,2,"P3 repeat sum%7",1,1,"frozen/grown monomials",1.0000,19,8,0,375
0xBADC0FFEE0DDF00D,B_current,2,"P5 repeat monomial deg2",1,1,"frozen/grown monomials",1.0000,19,8,0,376
0xBADC0FFEE0DDF00D,B_current,2,"P4 compose parity AND sum%7",1,1,"frozen/grown monomials",1.0000,19,8,0,377
0xBADC0FFEE0DDF00D,B_current,2,"P6 fresh Walsh chi{0x51}",1,0,"unified escalation",1.0000,20,9,0,383
0xBADC0FFEE0DDF00D,B_current,2,"P7 fresh monomial deg3",1,0,"unified escalation",1.0000,21,10,0,389
0xBADC0FFEE0DDF00D,B_current,2,"P8 fresh parity AND sum%3",1,0,"unified escalation",1.0000,22,11,0,397
0xBADC0FFEE0DDF00D,C_no_promotion,1,"B1 random monomial deg2",1,0,"unified escalation",1.0000,12,0,0,5
0xBADC0FFEE0DDF00D,C_no_promotion,1,"B2 random monomial deg3",1,0,"unified escalation",1.0000,12,0,0,10
0xBADC0FFEE0DDF00D,C_no_promotion,1,"B3 sum(g) % 7",1,0,"unified escalation",1.0000,12,0,0,18
0xBADC0FFEE0DDF00D,C_no_promotion,1,"B4 sign%mod 11",1,0,"unified escalation",1.0000,12,0,0,26
0xBADC0FFEE0DDF00D,C_no_promotion,1,"B5 Walsh χ{S=0x11}",1,0,"unified escalation",1.0000,12,0,0,31
0xBADC0FFEE0DDF00D,C_no_promotion,1,"B6 Walsh χ{S=0xA4}",1,0,"unified escalation",1.0000,12,0,0,36
0xBADC0FFEE0DDF00D,C_no_promotion,1,"B7 Walsh χ{S=0x0A}",1,0,"unified escalation",1.0000,12,0,0,41
0xBADC0FFEE0DDF00D,C_no_promotion,1,"B8 parity-of-count",1,0,"unified escalation",1.0000,12,0,0,47
0xBADC0FFEE0DDF00D,C_no_promotion,1,"B9 oriented v1>v0",1,1,"frozen/grown monomials",1.0000,11,0,0,48
0xBADC0FFEE0DDF00D,C_no_promotion,1,"B10 parity AND sum%5",1,1,"frozen/grown monomials",0.9080,11,0,0,49
0xBADC0FFEE0DDF00D,C_no_promotion,1,"B11 inversion parity",1,0,"inversion→half_p(S mod 2)",1.0000,11,0,0,371
0xBADC0FFEE0DDF00D,C_no_promotion,2,"P1 repeat Walsh chi{0x11}",1,0,"unified escalation",1.0000,12,0,0,376
0xBADC0FFEE0DDF00D,C_no_promotion,2,"P2 repeat Walsh chi{0xA4}",1,0,"unified escalation",1.0000,12,0,0,381
