arm,seed,battery,idx,target,ladder_solved,ladder_cov,ladder_label,checked_delta,novel_delta,blocked_delta,nlib,basis_at_target,rev_flag,aimed_attempted,aimed_certified,aimed_lens,mono_mask,grown_mask,mono_val,walsh_val,grown_val,aimed_cov_before,aimed_cov_after,aimed_r2,aimed_evals,tax_proxy,tax_proxy_corr,aimed_test_acc_l1,aimed_ladder_novel,final_solved
frozen,0x00C1B10D20260706,C,18,C08 parity count,0,0.4874,base,2,0,2,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C1B10D20260706,C,19,C09 inv parity,0,0.4949,base,0,0,0,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C1B10D20260706,C,20,C10 parity XOR 0x0F,0,0.4983,base,0,0,0,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C1B10D20260706,C,21,C11 XOR 0x37,0,0.5029,base,0,0,0,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C1B10D20260706,D,22,D01 sum%2,0,0.4857,base,1,0,1,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C1B10D20260706,D,23,D07 count3%3,0,0.6606,base,1,0,1,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C1B10D20260706,D,24,D11 subset-parity{0-3},0,0.5006,base,3,0,3,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C2B10D20260707,B,0,B1 random monomial deg2,1,1.0000,rq1_escalation,4,0,4,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
frozen,0x00C2B10D20260707,B,1,B2 random monomial deg3,1,1.0000,rq1_escalation,3,0,3,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
frozen,0x00C2B10D20260707,B,2,B3 sum(g) % 7,0,0.8497,saturated,1,0,1,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C2B10D20260707,B,3,B4 sign%mod 11,1,0.9063,frozen/grown monomials,0,0,0,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
frozen,0x00C2B10D20260707,B,4,B5 Walsh χ{S=0x11},1,1.0000,rq1_escalation,4,0,4,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
frozen,0x00C2B10D20260707,B,5,B6 Walsh χ{S=0xA4},1,1.0000,rq1_escalation,3,0,3,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
frozen,0x00C2B10D20260707,B,6,B7 Walsh χ{S=0x0A},1,1.0000,rq1_escalation,4,0,4,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
frozen,0x00C2B10D20260707,B,7,B8 parity-of-count,1,1.0000,rq1_escalation,2,0,2,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
frozen,0x00C2B10D20260707,B,8,B9 oriented v1>v0,1,1.0000,frozen/grown monomials,0,0,0,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
frozen,0x00C2B10D20260707,B,9,B10 parity AND sum%5,1,0.9097,frozen/grown monomials,0,0,0,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
frozen,0x00C2B10D20260707,B,10,B11 inversion parity,1,1.0000,rq1_escalation,0,0,0,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
frozen,0x00C2B10D20260707,C,11,C01 XOR 0x0F,0,0.4960,base,0,0,0,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C2B10D20260707,C,12,C02 parity XOR 0x33,0,0.5057,base,0,0,0,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C2B10D20260707,C,13,C03 XOR 0x55,0,0.4909,base,0,0,0,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C2B10D20260707,C,14,C04 XOR 0xAA,0,0.5069,base,0,0,0,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C2B10D20260707,C,15,C05 XOR 0x3C,0,0.4926,base,0,0,0,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C2B10D20260707,C,16,C06 XOR 0x66,0,0.4983,base,0,0,0,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C2B10D20260707,C,17,C07 XOR 0x99,0,0.5189,base,0,0,0,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C2B10D20260707,C,18,C08 parity count,0,0.5017,base,2,0,2,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C2B10D20260707,C,19,C09 inv parity,0,0.4909,base,0,0,0,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C2B10D20260707,C,20,C10 parity XOR 0x0F,0,0.4994,base,0,0,0,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C2B10D20260707,C,21,C11 XOR 0x37,0,0.5051,base,0,0,0,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C2B10D20260707,D,22,D01 sum%2,0,0.5183,base,1,0,1,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C2B10D20260707,D,23,D07 count3%3,0,0.6634,base,1,0,1,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
frozen,0x00C2B10D20260707,D,24,D11 subset-parity{0-3},0,0.4903,base,3,0,3,11,3,frozen,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
revision,0xF0235A11CE0FF1CE,B,0,B1 random monomial deg2,1,1.0000,rq1_escalation,4,0,4,11,3,pre,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0xF0235A11CE0FF1CE,B,1,B2 random monomial deg3,1,1.0000,rq1_escalation,3,0,3,11,3,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0xF0235A11CE0FF1CE,B,2,B3 sum(g) % 7,1,1.0000,unified escalation,1,1,0,12,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0xF0235A11CE0FF1CE,B,3,B4 sign%mod 11,1,0.9034,frozen/grown monomials,0,0,0,12,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0xF0235A11CE0FF1CE,B,4,B5 Walsh χ{S=0x11},1,1.0000,unified escalation,1,1,0,13,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0xF0235A11CE0FF1CE,B,5,B6 Walsh χ{S=0xA4},1,1.0000,unified escalation,1,1,0,14,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0xF0235A11CE0FF1CE,B,6,B7 Walsh χ{S=0x0A},1,1.0000,unified escalation,1,1,0,15,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0xF0235A11CE0FF1CE,B,7,B8 parity-of-count,1,1.0000,unified escalation,1,1,0,16,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0xF0235A11CE0FF1CE,B,8,B9 oriented v1>v0,1,1.0000,frozen/grown monomials,0,0,0,16,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0xF0235A11CE0FF1CE,B,9,B10 parity AND sum%5,1,1.0000,unified escalation,1,1,0,17,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0xF0235A11CE0FF1CE,B,10,B11 inversion parity,1,1.0000,rq1_escalation,0,0,0,17,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0xF0235A11CE0FF1CE,C,11,C01 XOR 0x0F,0,0.5240,base,0,0,0,11,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
revision,0xF0235A11CE0FF1CE,C,12,C02 parity XOR 0x33,0,0.4857,base,0,0,0,11,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
revision,0xF0235A11CE0FF1CE,C,13,C03 XOR 0x55,0,0.5040,base,0,0,0,11,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
revision,0xF0235A11CE0FF1CE,C,14,C04 XOR 0xAA,0,0.4880,base,0,0,0,11,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
revision,0xF0235A11CE0FF1CE,C,15,C05 XOR 0x3C,0,0.5074,base,0,0,0,11,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
revision,0xF0235A11CE0FF1CE,C,16,C06 XOR 0x66,0,0.4966,base,0,0,0,11,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
revision,0xF0235A11CE0FF1CE,C,17,C07 XOR 0x99,0,0.4989,base,0,0,0,11,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
revision,0xF0235A11CE0FF1CE,C,18,C08 parity count,1,1.0000,walsh,1,1,0,12,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0xF0235A11CE0FF1CE,C,19,C09 inv parity,0,0.4971,base,0,0,0,11,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
revision,0xF0235A11CE0FF1CE,C,20,C10 parity XOR 0x0F,0,0.5223,base,0,0,0,11,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
revision,0xF0235A11CE0FF1CE,C,21,C11 XOR 0x37,0,0.4897,base,0,0,0,11,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
revision,0xF0235A11CE0FF1CE,D,22,D01 sum%2,1,1.0000,world,1,1,0,12,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0xF0235A11CE0FF1CE,D,23,D07 count3%3,1,1.0000,menu,1,1,0,12,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0xF0235A11CE0FF1CE,D,24,D11 subset-parity{0-3},1,1.0000,forge,1,1,0,12,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0x00C1B10D20260706,B,0,B1 random monomial deg2,1,1.0000,rq1_escalation,4,0,4,11,3,pre,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0x00C1B10D20260706,B,1,B2 random monomial deg3,1,1.0000,rq1_escalation,3,0,3,11,3,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0x00C1B10D20260706,B,2,B3 sum(g) % 7,1,1.0000,unified escalation,1,1,0,12,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0x00C1B10D20260706,B,3,B4 sign%mod 11,1,0.9051,frozen/grown monomials,0,0,0,12,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0x00C1B10D20260706,B,4,B5 Walsh χ{S=0x11},1,1.0000,unified escalation,1,1,0,13,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0x00C1B10D20260706,B,5,B6 Walsh χ{S=0xA4},1,1.0000,unified escalation,1,1,0,14,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0x00C1B10D20260706,B,6,B7 Walsh χ{S=0x0A},1,1.0000,unified escalation,1,1,0,15,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0x00C1B10D20260706,B,7,B8 parity-of-count,1,1.0000,unified escalation,1,1,0,16,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0x00C1B10D20260706,B,8,B9 oriented v1>v0,1,1.0000,frozen/grown monomials,0,0,0,16,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0x00C1B10D20260706,B,9,B10 parity AND sum%5,1,1.0000,unified escalation,1,1,0,17,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0x00C1B10D20260706,B,10,B11 inversion parity,1,1.0000,rq1_escalation,0,0,0,17,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,1
revision,0x00C1B10D20260706,C,11,C01 XOR 0x0F,0,0.5051,base,0,0,0,11,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
revision,0x00C1B10D20260706,C,12,C02 parity XOR 0x33,0,0.4983,base,0,0,0,11,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
revision,0x00C1B10D20260706,C,13,C03 XOR 0x55,0,0.5137,base,0,0,0,11,4,post,0,0,,0x00,0x00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,,0.0000,-1.0000,0,0
