=== MMMP HOLDOUT HILLCLIMB ===
iters=64 seed=0xF00DCAFE12345678 start=(random) mmm_outer=6 tier1_outer=8 tier0_inner=120 shaped=false constrained=false constrained_meta=false constrained_mm=false wide_meta=false wide_mm=false restart_every=0
iter 0: anchor=-1000000.0000 holdout=-1000000.0000 BEST
iter 1/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 2/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 3/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 4/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 5/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 6/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 7/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 8/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 9/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 10/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 11/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 12/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 13/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 14/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 15/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 16/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 17/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 18/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 19/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 20/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 21/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 22/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 23/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 24/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 25/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 26/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 27/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 28/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 29/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 30/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 31/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 32/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 33/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 34/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 35/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 36/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 37/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 38/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 39/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 40/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 41/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 42/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 43/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 44/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 45/64: anchor=-247.8725 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 ACCEPT 
iter 46/64: anchor=-258085.4375 holdout=-1000000.0000 current=-1000000.0000 best=-1000000.0000 
iter 47/64: anchor=-5550.6820 holdout=-10765.8125 current=-10765.8125 best=-10765.8125 ACCEPT BEST
iter 48/64: anchor=-2872.4773 holdout=-227.9357 current=-227.9357 best=-227.9357 ACCEPT BEST
iter 49/64: anchor=-2872.4773 holdout=-227.9357 current=-227.9357 best=-227.9357 
iter 50/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-227.9357 best=-227.9357 
iter 51/64: anchor=-252775.4830 holdout=-268.9094 current=-227.9357 best=-227.9357 
iter 52/64: anchor=-255423.5347 holdout=-1000000.0000 current=-227.9357 best=-227.9357 
iter 53/64: anchor=-255440.4262 holdout=-227.9357 current=-227.9357 best=-227.9357 
iter 54/64: anchor=-2872.4773 holdout=-227.9357 current=-227.9357 best=-227.9357 
iter 55/64: anchor=-2872.4773 holdout=-227.9357 current=-227.9357 best=-227.9357 
iter 56/64: anchor=-2872.4773 holdout=-227.9357 current=-227.9357 best=-227.9357 
iter 57/64: anchor=-5524.9689 holdout=-1000000.0000 current=-227.9357 best=-227.9357 
iter 58/64: anchor=-2872.4773 holdout=-227.9357 current=-227.9357 best=-227.9357 
iter 59/64: anchor=-2872.4773 holdout=-227.9357 current=-227.9357 best=-227.9357 
iter 60/64: anchor=-2872.4773 holdout=-227.9357 current=-227.9357 best=-227.9357 
iter 61/64: anchor=-2872.4773 holdout=-227.9357 current=-227.9357 best=-227.9357 
